Fuente	Media	Desviacion_Estandar	Puntos
Global	4572.345726227781	2762.781639709705	13462369
Montecarlo	4574.212754611679	2782.814119218765	1346
Montecarlo	4453.6066241642175	2625.6053677234313	1346
Montecarlo	4482.818047021834	2697.609257040113	1346
Montecarlo	4522.13211696208	2660.8583469155233	1346
Montecarlo	4655.643143466541	2693.491378601605	1346
Montecarlo	4487.726639499509	2797.9150632145615	1346
Montecarlo	4552.505712158832	2756.378270986026	1346
Montecarlo	4732.450475924194	2830.277193771726	1346
Montecarlo	4560.833234527075	2763.6888430770937	1346
Montecarlo	4621.575336629618	2690.464175899388	1346
Montecarlo	4546.083808554146	2771.3554677646944	1346
Montecarlo	4620.0471027558615	2648.4783460623976	1346
Montecarlo	4564.46333679572	2692.902019562875	1346
Montecarlo	4589.356330612051	2872.960488519894	1346
Montecarlo	4550.705059243932	2792.2313170177995	1346
Montecarlo	4615.224140642273	2768.3243902179615	1346
Montecarlo	4588.818847118541	2842.754108105499	1346
Montecarlo	4529.549129951518	2782.9825327210524	1346
Montecarlo	4485.380329117093	2640.090030376168	1346
Montecarlo	4587.8668884705285	2759.3631761117636	1346
Montecarlo	4512.01918198884	2779.5551391637346	1346
Montecarlo	4357.301929450951	2620.77446880985	1346
Montecarlo	4593.480552458589	2694.0415332857197	1346
Montecarlo	4565.805040862465	2776.198031559466	1346
Montecarlo	4420.561172106065	2658.5636050650505	1346
Montecarlo	4604.228145541971	2709.3264889650536	1346
Montecarlo	4530.223761543655	2738.523891896567	1346
Montecarlo	4648.855984623149	2690.803269534563	1346
Montecarlo	4521.427978546969	2789.6534507792408	1346
Montecarlo	4663.685556076153	2736.754598584694	1346
Montecarlo	4507.250811663177	2802.0734835739227	1346
Montecarlo	4548.527839247428	2811.933267243082	1346
Montecarlo	4612.42016024184	2712.613189564827	1346
Montecarlo	4513.854488544509	2709.5095057244316	1346
Montecarlo	4508.6088220824895	2749.1708064758595	1346
Montecarlo	4457.652047433134	2716.1838050085075	1346
Montecarlo	4478.721974245527	2655.625955644779	1346
Montecarlo	4487.882594343803	2796.197077093132	1346
Montecarlo	4615.525361504104	2797.3354438655792	1346
Montecarlo	4574.7850578976295	2847.882224875589	1346
Montecarlo	4614.564617419051	2850.8912868154894	1346
Montecarlo	4510.4657048196805	2805.9501388369067	1346
Montecarlo	4520.490252010269	2743.345337666713	1346
Montecarlo	4430.231655927626	2586.063561144999	1346
Montecarlo	4621.988521099699	2833.305888864634	1346
Montecarlo	4670.650641294836	2893.9837914835443	1346
Montecarlo	4525.955233763872	2733.87331940361	1346
Montecarlo	4533.648280076781	2740.843426922817	1346
Montecarlo	4618.940570272966	2640.723158266302	1346
Montecarlo	4541.2902849922175	2774.41599187811	1346
Montecarlo	4605.436379651537	2880.2898904496788	1346
Montecarlo	4550.514014531197	2775.2080451641223	1346
Montecarlo	4696.673284828312	2764.3514912686146	1346
Montecarlo	4504.5937827246635	2750.6464931336245	1346
Montecarlo	4564.49976526426	2785.4230724220342	1346
Montecarlo	4519.174632088231	2822.6410205612697	1346
Montecarlo	4602.024144754093	2746.62950764062	1346
Montecarlo	4680.632683351976	2800.2147986424798	1346
Montecarlo	4685.687746488846	2886.1150545151836	1346
Montecarlo	4676.588194087985	2958.5219465711443	1346
Montecarlo	4647.805516014657	2790.2698251317415	1346
Montecarlo	4526.921083905164	2671.234480421079	1346
Montecarlo	4588.546250572733	2826.0008360933753	1346
Montecarlo	4628.774785786004	2879.298421237253	1346
Montecarlo	4532.619197524863	2679.073853298387	1346
Montecarlo	4677.712133592169	2757.6227252945996	1346
Montecarlo	4554.4054016288965	2828.8918787106977	1346
Montecarlo	4672.901163042886	2870.8801373297833	1346
Montecarlo	4560.937970782036	2704.950790365177	1346
Montecarlo	4652.066395422865	2821.2960834209284	1346
Montecarlo	4545.1548053903825	2803.5080023682294	1346
Montecarlo	4615.658566384744	2762.1741375959064	1346
Montecarlo	4638.9034746179	2902.8958126517946	1346
Montecarlo	4473.815354090147	2668.455188797669	1346
Montecarlo	4603.338392191373	2819.371588781125	1346
Montecarlo	4576.454042589111	2747.7302681464957	1346
Montecarlo	4640.709420077166	2801.5802282615136	1346
Montecarlo	4553.657253163979	2698.1572554516224	1346
Montecarlo	4561.376412483343	2837.431186290134	1346
Montecarlo	4395.132438846914	2662.3302593750736	1346
Montecarlo	4558.51716934447	2864.246111954638	1346
Montecarlo	4572.112769105222	2675.850476895206	1346
Montecarlo	4535.349352994842	2684.3689455487997	1346
Montecarlo	4646.278075968411	2874.1724461028452	1346
Montecarlo	4597.998451912461	2658.792153552676	1346
Montecarlo	4599.108609514324	2754.696622730426	1346
Montecarlo	4483.108027220736	2693.3436306854865	1346
Montecarlo	4605.199123053072	2743.3249069621766	1346
Montecarlo	4556.935870814534	2683.4789746936585	1346
Montecarlo	4486.914978081115	2676.5906518006877	1346
Montecarlo	4487.360967810348	2764.3108264655016	1346
Montecarlo	4576.4354191565035	2838.5070556073647	1346
Montecarlo	4625.066786771011	2814.6130446553407	1346
Montecarlo	4472.508764007053	2727.421861756965	1346
Montecarlo	4479.676172144134	2743.7741435393064	1346
Montecarlo	4599.17869775629	2665.0758639223886	1346
Montecarlo	4526.132354555821	2664.3041133556903	1346
Montecarlo	4590.632704026628	2797.7139383436684	1346
Montecarlo	4632.580081611023	2684.548775823893	1346
Montecarlo	4656.136068631817	2735.0491397989363	1346
Montecarlo	4646.70126728537	2790.5574983919078	1346
Montecarlo	4579.002994222513	2841.813856843125	1346
Montecarlo	4481.586897717812	2696.2345518579937	1346
Montecarlo	4476.2724057071755	2604.725813015074	1346
Montecarlo	4558.800465215302	2592.284378795322	1346
Montecarlo	4760.469037393743	2892.52807136779	1346
Montecarlo	4471.173923139997	2757.2919224384063	1346
Montecarlo	4512.81225774057	2668.0804474171696	1346
Montecarlo	4635.504837095808	2792.8310335579913	1346
Montecarlo	4692.057446202927	2678.6339501066414	1346
Montecarlo	4560.51333476651	2750.803066436463	1346
Montecarlo	4539.802092715261	2700.909854268524	1346
Montecarlo	4523.109575616531	2734.714373646693	1346
Montecarlo	4536.585855086011	2894.087255361731	1346
Montecarlo	4586.576782510884	2811.2822730725993	1346
Montecarlo	4750.372290955056	2875.8371444557265	1346
Montecarlo	4652.893603337685	2695.3849420268652	1346
Montecarlo	4456.41200524697	2731.034951823646	1346
Montecarlo	4530.058404776392	2777.461333754298	1346
Montecarlo	4542.137656290499	2638.3013565810106	1346
Montecarlo	4716.327944480412	2887.9234765397964	1346
Montecarlo	4609.616746432758	2751.7046852066346	1346
Montecarlo	4563.669537881371	2726.4970818822385	1346
Montecarlo	4776.061243676042	2682.804516238038	1346
Montecarlo	4440.3703947569065	2710.056618243495	1346
Montecarlo	4659.138326564275	2759.823595274753	1346
Montecarlo	4673.152036963269	2888.7568997782573	1346
Montecarlo	4531.808944327698	2698.1331208245488	1346
Montecarlo	4466.010074509627	2706.657948905609	1346
Montecarlo	4633.009631249097	2824.6732653029057	1346
Montecarlo	4628.963587749732	2851.106211973807	1346
Montecarlo	4474.478096682307	2771.6246867282593	1346
Montecarlo	4667.697203223609	2835.0708317173453	1346
Montecarlo	4651.375802700293	2867.2858150815096	1346
Montecarlo	4670.3489362278115	2805.7948537631773	1346
Montecarlo	4447.278928105725	2765.1246455766905	1346
Montecarlo	4505.636014099274	2665.8613551507137	1346
Montecarlo	4501.207878527802	2645.0037448012044	1346
Montecarlo	4441.670717223378	2693.4483916751615	1346
Montecarlo	4670.293722213988	2940.3962509164376	1346
Montecarlo	4497.539517495532	2627.676320826332	1346
Montecarlo	4680.652661913804	2795.61403318116	1346
Montecarlo	4590.255280913838	2753.6083046652684	1346
Montecarlo	4534.566825876026	2714.8078329022474	1346
Montecarlo	4490.240225506734	2749.0833675948297	1346
Montecarlo	4509.598971162441	2681.7699374057192	1346
Montecarlo	4709.067408117898	2647.307782040666	1346
Montecarlo	4516.713118378558	2675.478478567588	1346
Montecarlo	4585.430575492415	2822.503495367807	1346
Montecarlo	4560.631624472498	2781.9766297158203	1346
Montecarlo	4463.19857847095	2725.206954651316	1346
Montecarlo	4488.615675466287	2701.990979679596	1346
Montecarlo	4533.828989536005	2716.2580722652297	1346
Montecarlo	4658.2735311120905	2833.2239355622937	1346
Montecarlo	4581.684810519569	2746.846876847898	1346
Montecarlo	4575.412843640995	2784.310239490006	1346
Montecarlo	4499.030069429358	2906.7256863130533	1346
Montecarlo	4672.4542209471865	2995.5352097686427	1346
Montecarlo	4581.498408074391	2716.8716348962307	1346
Montecarlo	4476.906235544644	2818.977832639456	1346
Montecarlo	4647.399063245708	2844.073854914646	1346
Montecarlo	4653.3157535063365	2922.9371002160456	1346
Montecarlo	4695.408382932725	2877.5610217104436	1346
Montecarlo	4619.405812343343	2727.2903890232747	1346
Montecarlo	4716.197615197343	2759.9779216968395	1346
Montecarlo	4637.29340241834	2894.0092087137464	1346
Montecarlo	4530.249155821017	2737.9618559253363	1346
Montecarlo	4510.656464533824	2878.664635478534	1346
Montecarlo	4568.256833032501	2650.9133949901357	1346
Montecarlo	4510.617264407623	2756.621036259037	1346
Montecarlo	4613.129585293283	2726.02580937184	1346
Montecarlo	4496.1661087130005	2758.9939245219325	1346
Montecarlo	4681.46902731339	2721.271321069955	1346
Montecarlo	4501.320383133088	2746.748867827284	1346
Montecarlo	4528.534319473104	2682.1995309367135	1346
Montecarlo	4547.121749124723	2777.5963573491126	1346
Montecarlo	4655.565057314744	2767.836914650145	1346
Montecarlo	4527.370013442732	2754.982754885096	1346
Montecarlo	4577.422951667073	2637.9421762764887	1346
Montecarlo	4519.914389934734	2570.571682369881	1346
Montecarlo	4708.728375178179	2937.295738387179	1346
Montecarlo	4509.081023661812	2775.305750409947	1346
Montecarlo	4514.460076617796	2815.820242260532	1346
Montecarlo	4689.094898304094	2843.669201332706	1346
Montecarlo	4505.99356032955	2711.3288029010537	1346
Montecarlo	4517.534985290683	2804.19654765247	1346
Montecarlo	4623.052742462537	2736.0168902416026	1346
Montecarlo	4668.505299423817	2801.4953854820574	1346
Montecarlo	4533.032087941852	2685.0102932285813	1346
Montecarlo	4526.349339703325	2752.1573087170536	1346
Montecarlo	4733.9731863322795	2873.977715357757	1346
Montecarlo	4465.034867387524	2723.8811613844164	1346
Montecarlo	4687.337666727815	3001.1688645004565	1346
Montecarlo	4622.126988454192	2811.6071152491154	1346
Montecarlo	4525.520585303031	2775.116580856184	1346
Montecarlo	4589.190243039348	2713.0083335309296	1346
Montecarlo	4605.526434308006	2808.2108602997832	1346
Montecarlo	4626.583816333682	2759.818019480282	1346
Montecarlo	4591.504435043914	2695.7673262413623	1346
Montecarlo	4625.384653115385	2830.936654714597	1346
Montecarlo	4559.552089003698	2821.237642505502	1346
Montecarlo	4501.346202871835	2781.6662021235734	1346
Montecarlo	4503.664220405746	2722.106472615324	1346
Montecarlo	4720.367611817859	2747.7942982798745	1346
Montecarlo	4662.356449456196	2702.115823414024	1346
Montecarlo	4475.329161603991	2617.176169076556	1346
Montecarlo	4680.959751659948	2722.612669489183	1346
Montecarlo	4513.025740663887	2763.203601911939	1346
Montecarlo	4701.993492661365	2853.946551053148	1346
Montecarlo	4610.686345444539	2777.103750343793	1346
Montecarlo	4604.670549609264	2755.243444976886	1346
Montecarlo	4504.149570136537	2747.958460739856	1346
Montecarlo	4585.761211663559	2718.5799023798004	1346
Montecarlo	4553.993277556961	2787.5358870390787	1346
Montecarlo	4498.92610630674	2672.0201279442153	1346
